FileA,FileB,AST,LCS,TFIDF,Hybrid,GroundTruth
O7.java,U6.java,37.2549,51.4286,94.1029,60.9288,0
O4.java,U10.java,25.2336,38.8060,94.0019,52.6805,0
O4.java,01.java,19.0476,32.0000,92.0045,47.6840,0
O4.java,O8.java,59.6330,65.5172,98.1321,74.4275,0
O4.java,P9.java,16.3636,28.1250,94.0019,46.1635,0
O4.java,P6.java,38.1818,52.6316,97.4814,62.7649,0
O4.java,02.java,25.4717,39.0977,97.0747,53.8814,0
O4.java,O5.java,25.2252,40.2878,96.7871,54.1000,0
O4.java,P3.java,43.9252,55.8442,96.2755,65.3483,0
O4.java,U6.java,17.5926,28.3465,93.8664,46.6018,0
U10.java,01.java,70.9677,83.0189,100.0000,84.6622,0
U10.java,O8.java,37.8378,47.0588,94.7335,59.8767,0
U10.java,P9.java,47.3684,64.2857,100.0000,70.5514,0
U10.java,P6.java,50.9434,60.0000,96.1848,69.0427,0
U10.java,02.java,69.4444,68.8525,98.6870,78.9946,0
U10.java,O5.java,45.6522,56.7164,99.5233,67.2973,0
U10.java,P3.java,51.8519,60.9756,96.1763,69.6679,0
U10.java,U6.java,52.7778,65.4545,100.0000,72.7441,0
01.java,O8.java,29.1667,43.0108,95.2075,55.7950,0
01.java,P9.java,51.6129,68.0851,100.0000,73.2327,0
01.java,P6.java,42.0000,56.3380,91.1977,63.1786,0
01.java,02.java,62.5000,73.0769,96.2435,77.2735,0
01.java,O5.java,45.0000,62.0690,99.5233,68.8641,0
01.java,P3.java,43.1373,57.5342,95.7020,65.4578,0
01.java,U6.java,58.6207,73.9130,93.8194,75.4511,0
O8.java,P9.java,24.6753,37.5000,94.7335,52.3030,0
O8.java,P6.java,53.8462,66.6667,92.9381,71.1503,0
O8.java,02.java,40.2778,53.4653,93.0887,62.2773,0
O8.java,O5.java,37.1795,50.4673,97.3038,61.6502,0
O8.java,P3.java,58.4416,63.9344,97.4085,73.2615,0
O8.java,U6.java,25.0000,37.8947,93.1552,52.0166,0
P9.java,P6.java,34.5455,45.9459,96.1848,58.8921,0
P9.java,02.java,48.6486,58.1818,98.6870,68.5058,0
P9.java,O5.java,69.4444,75.4098,99.3933,81.4159,0
P9.java,P3.java,33.3333,47.3684,96.1763,58.9594,0
P9.java,U6.java,75.0000,81.6327,98.2093,84.9473,0
P6.java,02.java,58.0000,70.8861,98.2243,75.7034,0
P6.java,O5.java,41.6667,54.1176,97.3124,64.3656,0
P6.java,P3.java,61.2903,66.0000,97.4157,74.9020,0
P6.java,U6.java,35.1852,49.3151,96.3438,60.2814,0
02.java,O5.java,46.6667,60.6061,98.6064,68.6264,0
02.java,P3.java,50.0000,56.7901,95.2297,67.3399,0
02.java,U6.java,54.2857,62.9630,98.0581,71.7689,0
O5.java,P3.java,50.0000,64.3678,98.2155,70.8611,0
O5.java,U6.java,57.8947,70.0000,98.6600,75.5182,0
